date,code,open,high,low,close,volume,amount,turn,pctChg
2025-01-02,sz.002642,7.1900000000,7.2600000000,6.8900000000,6.9800000000,21264250,150098314.5000,3.218400,-2.377600
2025-01-03,sz.002642,7.0000000000,7.0500000000,6.5300000000,6.5400000000,23878250,160417005.5000,3.614100,-6.303700
2025-01-06,sz.002642,6.5000000000,6.6100000000,6.2900000000,6.5100000000,16872882,109475448.1800,2.553800,-0.458700
2025-01-07,sz.002642,6.5400000000,6.7200000000,6.5300000000,6.7100000000,15564900,102964064.0000,2.355800,3.072200
2025-01-08,sz.002642,6.7200000000,6.7800000000,6.3800000000,6.6300000000,21016800,138601320.0000,3.181000,-1.192300
2025-01-09,sz.002642,6.5700000000,6.8200000000,6.5600000000,6.6500000000,15886100,106172049.0000,2.404400,0.301700
2025-01-10,sz.002642,6.6500000000,6.7200000000,6.3500000000,6.3600000000,17560900,114724286.0000,2.657900,-4.360900
2025-01-13,sz.002642,6.2700000000,6.4900000000,6.1100000000,6.4600000000,18595713,118097371.1100,2.814500,1.572300
2025-01-14,sz.002642,6.5200000000,6.7900000000,6.5000000000,6.7700000000,20100747,134428328.2800,3.042300,4.798800
2025-01-15,sz.002642,6.7700000000,6.8500000000,6.6800000000,6.7600000000,15457373,104609220.5200,2.339500,-0.147700
2025-01-16,sz.002642,6.8500000000,6.9700000000,6.7300000000,6.8200000000,15217150,104085479.5000,2.303200,0.887600
2025-01-17,sz.002642,6.8100000000,6.8700000000,6.7200000000,6.8100000000,14145400,96093773.0000,2.141000,-0.146600
2025-01-20,sz.002642,6.9400000000,6.9800000000,6.7200000000,6.8600000000,17254700,118416850.0000,2.611600,0.734200
2025-01-21,sz.002642,6.8800000000,6.9300000000,6.7300000000,6.8000000000,11955400,81283221.0000,1.809500,-0.874600
2025-01-22,sz.002642,6.7900000000,7.0200000000,6.6600000000,6.8400000000,25824696,176669491.0600,3.908700,0.588200
2025-01-23,sz.002642,6.9500000000,7.2500000000,6.8700000000,6.8800000000,29870250,210055007.9600,4.521000,0.584800
2025-01-24,sz.002642,6.9100000000,7.5700000000,6.9100000000,7.5700000000,51122320,383579243.4000,7.737600,10.029100
2025-01-27,sz.002642,7.6500000000,7.7700000000,7.3700000000,7.4100000000,71716674,542330729.5400,10.854600,-2.113600
2025-02-05,sz.002642,7.5300000000,7.6400000000,7.4200000000,7.6200000000,53703881,406112514.3600,8.128300,2.834000
2025-02-06,sz.002642,7.5900000000,7.7500000000,7.5100000000,7.7200000000,49714160,381623766.4000,7.524400,1.312300
2025-02-07,sz.002642,7.7500000000,8.1000000000,7.6900000000,7.8900000000,63830695,503133128.5800,9.661000,2.202100
2025-02-10,sz.002642,7.9600000000,8.1500000000,7.9400000000,8.1300000000,54938804,442609007.2000,8.315200,3.041800
2025-02-11,sz.002642,8.1600000000,8.1600000000,7.9200000000,8.0500000000,45361310,364826496.2600,6.865600,-0.984000
2025-02-12,sz.002642,8.1100000000,8.3700000000,8.1000000000,8.1700000000,45478388,373437569.7700,6.883300,1.490700
2025-02-13,sz.002642,8.2000000000,8.2400000000,7.9600000000,8.0700000000,39853025,322326446.5600,6.031900,-1.224000
2025-02-14,sz.002642,8.2400000000,8.6200000000,8.1000000000,8.3800000000,76584774,638526293.7800,11.591400,3.841400
2025-02-17,sz.002642,8.7500000000,8.9800000000,8.5400000000,8.5900000000,95137510,828463119.0300,14.399500,2.506000
2025-02-18,sz.002642,8.5400000000,9.0900000000,8.3300000000,8.4100000000,87594785,758484171.4700,13.257800,-2.095500
2025-02-19,sz.002642,8.4100000000,8.7400000000,8.2400000000,8.6800000000,73513350,627086399.5000,11.126600,3.210500
2025-02-20,sz.002642,8.6000000000,9.1200000000,8.5400000000,8.7100000000,77420282,677933029.5000,11.717900,0.345600
2025-02-21,sz.002642,8.9800000000,9.0900000000,8.7100000000,9.0000000000,92938645,829532027.4100,14.066700,3.329500
2025-02-24,sz.002642,9.0300000000,9.2600000000,8.7800000000,8.8800000000,76780410,690368867.6500,11.621000,-1.333300
2025-02-25,sz.002642,8.6000000000,9.7700000000,8.5800000000,9.2200000000,124895355,1153927530.9700,18.903400,3.828800
2025-02-26,sz.002642,9.0700000000,9.4700000000,9.0100000000,9.2300000000,88734200,817562993.6400,13.430300,0.108500
2025-02-27,sz.002642,9.3100000000,9.4500000000,8.9100000000,9.1100000000,71747405,655185289.1800,10.859300,-1.300100
2025-02-28,sz.002642,8.9800000000,9.0300000000,8.3800000000,8.4000000000,67522008,584521577.9100,10.219700,-7.793600
2025-03-03,sz.002642,8.4000000000,8.5400000000,8.1600000000,8.2700000000,47210850,395139970.5000,7.145600,-1.547600
2025-03-04,sz.002642,8.1700000000,8.6000000000,8.1500000000,8.5800000000,38778068,328379891.2600,5.869200,3.748500
2025-03-05,sz.002642,8.5100000000,8.8100000000,8.5000000000,8.7100000000,32654451,281864882.2000,4.942400,1.515200
2025-03-06,sz.002642,8.7200000000,8.9700000000,8.7200000000,8.9100000000,43512101,386531042.8000,6.585700,2.296200
2025-03-07,sz.002642,8.9100000000,9.0400000000,8.7200000000,8.8000000000,41445050,369089775.9900,6.272900,-1.234600
2025-03-10,sz.002642,8.8900000000,8.9600000000,8.6000000000,8.6700000000,29854351,260518109.3700,4.518600,-1.477300
2025-03-11,sz.002642,8.5000000000,8.7000000000,8.4700000000,8.6500000000,25358152,217660217.7200,3.838100,-0.230700
2025-03-12,sz.002642,8.7400000000,9.4500000000,8.7300000000,8.9600000000,63366950,573216780.0000,9.590900,3.583800
2025-03-13,sz.002642,8.8900000000,8.9700000000,8.4700000000,8.7400000000,44265744,384768025.8600,6.699800,-2.455400
2025-03-14,sz.002642,8.6300000000,8.7200000000,8.3900000000,8.6700000000,37791850,324215504.0000,5.720000,-0.800900
2025-03-17,sz.002642,8.6700000000,8.8800000000,8.5100000000,8.8500000000,47445700,413329158.5000,7.181100,2.076100
2025-03-18,sz.002642,8.8400000000,8.9500000000,8.6800000000,8.7500000000,38896500,342214164.0000,5.887100,-1.129900
2025-03-19,sz.002642,8.6700000000,9.2500000000,8.6700000000,8.8200000000,69494113,622307610.0300,10.518200,0.800000
2025-03-20,sz.002642,8.7300000000,9.7000000000,8.7000000000,9.7000000000,85509350,798427312.0000,12.942200,9.977300
2025-03-21,sz.002642,9.8300000000,9.8600000000,9.3100000000,9.3400000000,148718402,1418264380.5900,22.509200,-3.711300
2025-03-24,sz.002642,9.3600000000,9.4200000000,8.4100000000,8.4100000000,100834372,883603549.8800,15.261700,-9.957200
2025-03-25,sz.002642,8.3400000000,8.3800000000,7.7200000000,7.7500000000,85469115,676516738.7500,12.936100,-7.847800
2025-03-26,sz.002642,7.7200000000,8.0500000000,7.7200000000,7.8500000000,49162713,387777897.1800,7.441000,1.290300
2025-03-27,sz.002642,7.8800000000,7.8800000000,7.6500000000,7.6700000000,33062900,256038605.0000,5.004200,-2.293000
2025-03-28,sz.002642,7.6700000000,7.8000000000,7.5800000000,7.5800000000,25946137,198809170.5700,3.927100,-1.173400
2025-03-31,sz.002642,7.4600000000,7.6200000000,7.2900000000,7.5800000000,38294101,285075676.9200,5.796000,0.000000
2025-04-01,sz.002642,7.6400000000,7.7700000000,7.5900000000,7.6400000000,30172851,231737687.1100,4.566800,0.791600
2025-04-02,sz.002642,7.6500000000,7.9700000000,7.6400000000,7.8500000000,39619452,310310179.2000,5.988600,2.748700
2025-04-03,sz.002642,7.7700000000,7.8800000000,7.6700000000,7.7700000000,25496950,198369002.5000,3.853900,-1.019100
2025-04-07,sz.002642,7.1000000000,7.3000000000,6.9900000000,6.9900000000,23308754,164375037.9200,3.523200,-10.038600
2025-04-08,sz.002642,6.8000000000,7.0200000000,6.4000000000,6.7100000000,47331065,315923569.6000,7.154200,-4.005700
2025-04-09,sz.002642,6.5100000000,6.9200000000,6.0800000000,6.8400000000,42198237,276046144.6400,6.378400,1.937400
2025-04-10,sz.002642,7.0200000000,7.1500000000,6.9700000000,6.9700000000,34505752,243308468.2400,5.215700,1.900600
2025-04-11,sz.002642,6.9200000000,7.1200000000,6.8600000000,7.0300000000,25350700,178283194.0000,3.831800,0.860800
2025-04-14,sz.002642,7.1900000000,7.2400000000,7.0800000000,7.1100000000,23149050,165670104.5000,3.499100,1.138000
2025-04-15,sz.002642,7.1200000000,7.1700000000,7.0200000000,7.1200000000,19221800,136311049.0000,2.905400,0.140600
2025-04-16,sz.002642,7.1200000000,7.1300000000,6.8300000000,6.9700000000,20323890,141702552.1000,3.072000,-2.106700
2025-04-17,sz.002642,6.9100000000,7.0800000000,6.9000000000,6.9600000000,16678000,117040290.0000,2.520900,-0.143500
2025-04-18,sz.002642,6.9600000000,7.0600000000,6.9200000000,7.0400000000,13634500,95318858.0000,2.060900,1.149400
2025-04-21,sz.002642,7.0000000000,7.2600000000,7.0000000000,7.2400000000,20098650,144053827.5000,3.038000,2.840900
2025-04-22,sz.002642,7.2200000000,7.2700000000,7.1400000000,7.1900000000,15656155,112755851.9000,2.366500,-0.690600
2025-04-23,sz.002642,7.2400000000,7.9100000000,7.2200000000,7.5200000000,65334490,494509994.6400,9.875500,4.589700
2025-04-24,sz.002642,7.4100000000,7.4700000000,7.2000000000,7.2400000000,41944135,306653542.7000,6.340000,-3.723400
2025-04-25,sz.002642,7.2500000000,7.3700000000,7.2100000000,7.2900000000,22062500,161169368.0000,3.334800,0.690600
2025-04-28,sz.002642,7.2200000000,7.2700000000,7.0800000000,7.1200000000,21767000,155617917.0000,3.290200,-2.332000
2025-04-29,sz.002642,7.0600000000,7.8300000000,6.9700000000,7.5400000000,88587738,675425899.7000,13.390300,5.898900
2025-04-30,sz.002642,7.4500000000,7.6400000000,7.4000000000,7.4500000000,59196999,444860949.4900,8.947800,-1.193600
2025-05-06,sz.002642,7.6200000000,7.7700000000,7.5900000000,7.7500000000,43525905,334979905.3800,6.579100,4.026800
2025-05-07,sz.002642,7.8100000000,7.9000000000,7.6100000000,7.6900000000,37395004,288455372.0600,5.652400,-0.774200
2025-05-08,sz.002642,7.6500000000,7.8400000000,7.6300000000,7.7800000000,30233150,234749038.1000,4.569800,1.170400
2025-05-09,sz.002642,7.7500000000,7.7900000000,7.5700000000,7.6000000000,22663600,172929418.0000,3.425700,-2.313600
2025-05-12,sz.002642,7.6500000000,8.1500000000,7.6200000000,7.8400000000,45852235,358839970.4900,6.930700,3.157900
2025-05-13,sz.002642,7.9100000000,7.9600000000,7.7200000000,7.7300000000,27695000,215954968.0100,4.186200,-1.403100
2025-05-14,sz.002642,7.7000000000,7.8300000000,7.6900000000,7.7400000000,22809700,176824545.0000,3.447800,0.129400
2025-05-15,sz.002642,7.6900000000,7.8100000000,7.5300000000,7.6000000000,29193050,222796449.4800,4.412600,-1.808800
2025-05-16,sz.002642,7.5300000000,7.6300000000,7.5200000000,7.5400000000,16591455,125647040.5000,2.507900,-0.789500
2025-05-19,sz.002642,7.5700000000,7.7000000000,7.5200000000,7.6800000000,19985900,152346221.0000,3.020900,1.856800
2025-05-20,sz.002642,7.6800000000,7.8700000000,7.6200000000,7.7900000000,26292601,204354456.7700,3.974200,1.432300
2025-05-21,sz.002642,7.7300000000,7.7900000000,7.6200000000,7.6400000000,18515957,142119634.8100,2.798700,-1.925500
2025-05-22,sz.002642,7.5900000000,7.6700000000,7.4700000000,7.4900000000,19242250,145175018.5000,2.908500,-1.963400
2025-05-23,sz.002642,7.4500000000,7.5600000000,7.2700000000,7.2800000000,21686048,160726772.2400,3.277900,-2.803700
2025-05-26,sz.002642,7.2700000000,7.5000000000,7.2500000000,7.4800000000,18965448,140546597.5800,2.866700,2.747300
2025-05-27,sz.002642,7.4500000000,7.5500000000,7.3800000000,7.4600000000,12661550,94324722.5000,1.913800,-0.267400
2025-05-28,sz.002642,7.4800000000,7.5300000000,7.3600000000,7.3800000000,12389900,91854461.0000,1.872800,-1.072400
2025-05-29,sz.002642,7.3600000000,7.6600000000,7.3400000000,7.6400000000,28321947,214527493.8900,4.281000,3.523000
2025-05-30,sz.002642,7.6000000000,7.6600000000,7.4100000000,7.4400000000,18791350,140839640.0000,2.840400,-2.617800
2025-06-03,sz.002642,7.4200000000,7.6100000000,7.4000000000,7.4900000000,15339812,115468644.2600,2.318700,0.672000
2025-06-04,sz.002642,7.5200000000,7.5700000000,7.4600000000,7.5400000000,14103310,106112311.9200,2.131800,0.667600
2025-06-05,sz.002642,7.5500000000,7.6900000000,7.5400000000,7.6700000000,26097210,198697095.4000,3.944700,1.724100
2025-06-06,sz.002642,7.6800000000,7.7600000000,7.6000000000,7.6900000000,21179600,162421842.5000,3.201400,0.260800
2025-06-09,sz.002642,7.6600000000,7.7600000000,7.6600000000,7.7300000000,16769204,129486865.9600,2.534700,0.520200
2025-06-10,sz.002642,7.7500000000,7.7700000000,7.5000000000,7.6200000000,21698750,165343714.0000,3.279800,-1.423000
2025-06-11,sz.002642,7.6000000000,7.7100000000,7.5800000000,7.6400000000,14747700,112853685.0000,2.229200,0.262500
2025-06-12,sz.002642,7.5900000000,7.7600000000,7.5600000000,7.7300000000,22629500,173965527.0000,3.420500,1.178000
2025-06-13,sz.002642,7.6700000000,7.7000000000,7.4000000000,7.4200000000,23923548,180016639.5200,3.616100,-4.010300
2025-06-16,sz.002642,7.3800000000,7.5500000000,7.3400000000,7.5400000000,14880550,111813210.5000,2.249200,1.617300
2025-06-17,sz.002642,7.5100000000,7.5600000000,7.4500000000,7.5000000000,12572950,94176148.5000,1.900400,-0.530500
2025-06-18,sz.002642,7.5100000000,7.5200000000,7.3800000000,7.4400000000,12491950,92849918.0000,1.888200,-0.800000
2025-06-19,sz.002642,7.4200000000,7.5200000000,7.2500000000,7.2600000000,16206200,118998032.0000,2.449600,-2.419400
2025-06-20,sz.002642,7.2700000000,7.3100000000,7.0900000000,7.1000000000,15816870,113180917.0900,2.390800,-2.203900
2025-06-23,sz.002642,7.0200000000,7.3500000000,7.0000000000,7.3300000000,17685950,127892535.5000,2.673300,3.239400
2025-06-24,sz.002642,7.3300000000,7.8800000000,7.3300000000,7.6400000000,38429925,292270681.7500,5.808800,4.229200
2025-06-25,sz.002642,7.5800000000,7.7300000000,7.5800000000,7.7000000000,29110541,223079960.0600,4.400200,0.785300
2025-06-26,sz.002642,7.7000000000,7.8400000000,7.6500000000,7.7200000000,26791000,206811451.0000,4.049500,0.259700
2025-06-27,sz.002642,7.7300000000,7.8200000000,7.6800000000,7.7500000000,21140500,164048573.0000,3.195500,0.388600
2025-06-30,sz.002642,7.8000000000,7.8500000000,7.7600000000,7.8100000000,16679450,130101473.0000,2.521200,0.774200
2025-07-01,sz.002642,7.8000000000,7.8500000000,7.7100000000,7.7700000000,15733650,122388890.5000,2.378200,-0.512200
2025-07-02,sz.002642,7.7500000000,7.7500000000,7.6000000000,7.6500000000,16973400,129977701.5000,2.565600,-1.544400
2025-07-03,sz.002642,7.6500000000,7.7500000000,7.6500000000,7.7000000000,14700450,113420867.0000,2.222000,0.653600
2025-07-04,sz.002642,7.6800000000,7.7500000000,7.6100000000,7.6500000000,16475000,126706419.5000,2.490200,-0.649400
2025-07-07,sz.002642,7.6200000000,7.7100000000,7.6100000000,7.6500000000,11316300,86589742.0000,1.710500,0.000000
2025-07-08,sz.002642,7.6400000000,7.7700000000,7.6300000000,7.7500000000,15917300,122708520.0000,2.406000,1.307200
2025-07-09,sz.002642,7.7700000000,7.8200000000,7.7300000000,7.7700000000,15995400,124310524.0000,2.417800,0.258100
2025-07-10,sz.002642,7.7400000000,7.9400000000,7.7200000000,7.9100000000,33152683,260839892.5300,5.011100,1.801800
2025-07-11,sz.002642,7.8900000000,8.0700000000,7.8400000000,8.0600000000,38346000,305584522.9100,5.796100,1.896300
2025-07-14,sz.002642,8.0600000000,8.1800000000,7.9400000000,7.9900000000,25495007,204064504.0200,3.853700,-0.868500
2025-07-15,sz.002642,7.9500000000,8.0200000000,7.8300000000,7.9800000000,24136659,191205314.0100,3.648300,-0.125200
2025-07-16,sz.002642,7.9500000000,8.0500000000,7.9000000000,7.9300000000,16799500,133896967.0000,2.539300,-0.626600
2025-07-17,sz.002642,7.9200000000,8.0100000000,7.8800000000,7.9600000000,17487585,139104088.7500,2.643300,0.378300
2025-07-18,sz.002642,7.9500000000,8.0500000000,7.9300000000,7.9700000000,16060750,128333016.0000,2.427600,0.125600
2025-07-21,sz.002642,7.9400000000,8.0200000000,7.9400000000,8.0000000000,17902800,142870813.0000,2.706100,0.376400
2025-07-22,sz.002642,8.0000000000,8.1500000000,7.9200000000,7.9600000000,29620359,236870429.3000,4.477200,-0.500000
2025-07-23,sz.002642,7.9100000000,7.9400000000,7.8100000000,7.8200000000,22235125,174855658.7500,3.360900,-1.758800
2025-07-24,sz.002642,7.8000000000,7.9500000000,7.7800000000,7.9500000000,16263651,128224652.8900,2.458300,1.662400
2025-07-25,sz.002642,7.9600000000,8.1500000000,7.9500000000,8.0500000000,31002085,249879594.9000,4.686100,1.257900
2025-07-28,sz.002642,8.0500000000,8.0700000000,7.9500000000,7.9900000000,18363050,146734029.9200,2.775600,-0.745300
2025-07-29,sz.002642,7.9900000000,8.0000000000,7.8600000000,7.9700000000,15229652,120453750.8800,2.302000,-0.250300
2025-07-30,sz.002642,7.9500000000,7.9600000000,7.7700000000,7.8400000000,18373539,144432479.7600,2.777200,-1.631100
2025-07-31,sz.002642,7.8100000000,7.9800000000,7.8000000000,7.8200000000,19489848,153816565.8800,2.946000,-0.255100
2025-08-01,sz.002642,7.8300000000,8.0400000000,7.7400000000,7.9600000000,22533500,177692355.0000,3.406000,1.790300
2025-08-04,sz.002642,7.8900000000,8.0400000000,7.8600000000,8.0300000000,20630950,164865666.0000,3.118400,0.879400
